LON,LAT,EDO,CLAVE,ESTACION,may-25
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",64.72
-102.291111,21.851111,AGS,AGUASCALIENTESo,"Observatorio de Aguascalientes, Ags. SGT*",12
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",37.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",7.5
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",8.91
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",30.12
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",35.03
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",24.21
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",8.22
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",26.64
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",21.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",50.62
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",75.6
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",16
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",31.31
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",54.01
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",16.06
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",85.31
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",0.01
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",14
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",21.6
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",5.6
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",2.03
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",2.42
-116.584444,32.243056,BC,CSRBN,"Carmen Serdán, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",2.82
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",10.01
-115.931389,30.517222,BC,ENBBN,"San Quintín, B.C.",0.2
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",2.29
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.02
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",5.8
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",9.8
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",4.5
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",9.2
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",2.31
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",6.01
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",1
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",5
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",2.41
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",3
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",5
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",8.01
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",5.1
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0.01
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",15.5
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",19.3
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",0.02
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",27.3
-91.962778,20.203889,CAMP,CAYOARCASmar,"Cayo Arcas, Camp. SEMAR*",0
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",0.01
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",0.01
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",2.3
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",9.11
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",0
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",0
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",50.6
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",6.6
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",10.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",24
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",132.4
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",8
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",3.5
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",0
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",1
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",13
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",15.56
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",0
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",2.5
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",0
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",2.21
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",3.6
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",0
-107.072778,26.813056,CHIH,GRCCH,"Guerachi, Chih.",0
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0.01
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",0
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",4.5
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",0.02
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",14
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",1.01
-108.14,29.18,CHIH,MDRCH,"Ciudad Madera, Chih.",1
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",38.01
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",11
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",10.4
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",11
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",2.9
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",0
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",19.03
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",52.9
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",159.71
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",213.5
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",126.6
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",92.9
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",98.6
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",74.7
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",361.51
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",72.31
-92.618056,16.963333,CHIS,CHALCHIHUITAN,"Chalchihuitán, Chis. SGT*",197
-93.131389,17.341389,CHIS,CHAPULTENANGO,"Chapultenango, Chis. SGT*",175.8
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",45.2
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",65.2
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",128.9
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",111.2
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",107.62
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. PC*",131.32
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitan, Chis. PC*",73.36
-92.113056,15.435833,CHIS,CUILCOCFE,"Cuilco, Chis. CFE*",129.6
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",72.3
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidrométrica, Chis. SGT*",80.9
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",511
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",157.5
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",163.6
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",117.3
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",189.02
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",238.4
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",164.5
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",88.8
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",569.5
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",77.2
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",540.9
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",443.7
-92.476111,15.346667,CHIS,FPZCP,"Finca la Paz, Chis.",337
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",0
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",269.6
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",458.32
-92.454167,16.712778,CHIS,HUIXTAN,"Huixtán, Chis. SGT*",48
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",106.81
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",131.7
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",131.7
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",172.2
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",20.5
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",103.3
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",109.7
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",259.01
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",167.8
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",72.3
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",135
-93.458611,17.446111,CHIS,PENCP,"Angel Albino Corzo, Chis.",99.6
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",267.8
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",249
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",223
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",79.2
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",131.6
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",93.5
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",139.3
-92.104167,15.031667,CHIS,SANTODOMINGO,"Santo Domingo, Chis. Protección Civil*",369.42
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",110.9
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",100.9
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",276.2
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",260.31
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",161.1
-92.951389,15.872778,CHIS,SFRANCISCOII,"San Francisco 2, Chis. SGT*",3.6
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",51.6
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",91.8
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",194.1
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",180.1
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",66.7
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",557.6
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",128.6
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",106.2
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",169.3
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",52.4
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",65.2
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla Gutiérrez Zoomat, Chis.",52.1
-93.5375,17.283333,CHIS,TZICP,"Tzimbac, Chis.",92
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",105.15
-92.147222,15.091111,CHIS,VTACANA,"Volcán Tacaná, Chis. SMN*",446.2
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",64.6
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",40.51
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",40.01
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",2.9
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",114.7
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",0
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",8.03
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",38.61
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",74.35
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",19.3
-103.266667,25.766667,COAH,MADCL,"Madero, Coah.",4.52
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",77.3
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",222.7
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",90
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",0
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",155
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",50
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",20.5
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",5.42
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",58.5
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",4.84
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",46.03
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",10
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",24.1
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",22.01
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",11.21
-103.804167,19.2125,COL,CQMCM,"Coquimatlán, Col.",93.71
-103.6,19.325,COL,CUACM,"Cuauhtémoc, Col.",13.5
-103.884444,19.111389,COL,DJLCM,"P. deriv. Gregorio T. Q. Jala, Col.",70.2
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",2.4
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",112.1
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",6.4
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",32.01
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",97.6
-103.8125,19.3275,COL,PNTCM,"P. deriv. Peñitas, Col.",14
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",18.8
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",3.71
-103.867778,18.911667,COL,TCMCM,"Tecomán, Col.",20
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",12.51
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",86.5
-99.235278,19.203333,DF,AJUSCOALTATEN,"Ajusco Alta Tensión, Cd. de Méx. SEGIAGUA*",68.75
-99.197222,19.388611,DF,CAJA6IPSAYP,"Caja 6 IP San Antonio y Periferico, Cd. de Méx. SEGIAGUA*",82
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",105.28
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",68.49
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",74.51
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",83.45
-99.021667,19.256111,DF,CERRILLOS,"Cerrillos, Cd. de Méx. SEGIAGUA*",64.5
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",90
-99.047222,19.442222,DF,CHAPLAGO,"Planta de bombeo Churubusco Lago, Cd. de Méx. SEGIAGUA*",19.5
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",68.5
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",129.19
-99.077778,19.4775,DF,CRAEOCAVM,"San Juan de Aragón (CRAE OCAVM), Cd. de Méx. SEGIAGUA*",53.5
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",52.4
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",66.32
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",44.5
-99.205,19.3,DF,DATDF,"Desviación Alta, Cd. de Méx.",26
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",64.5
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",30
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",107.24
-99.073056,19.288611,DF,ELMOLINOCDMX,"El Molino, Cd. de Méx. SEGIAGUA*",10
-99.066667,19.377778,DF,EMRDF,"El Moral SACM, Cd. de Méx.",24.9
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",55.75
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",68
-99.091667,19.478056,DF,GCNDF,"km 6+250, Cd. de Méx.",75.6
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de Méx.",67
-98.975,19.339167,DF,LACALDERA,"La Caldera Subestación eléctrica Santa Lucía, Méx. SEGIAGUA*",100.75
-99.170556,19.286944,DF,LAJOYACDMX,"La Joya, Cd. de Méx. SEGIAGUA*",4.25
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos (El Moral), Cd. de Méx.",64.5
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",68.25
-99.026944,19.187222,DF,MILPAALTADF,"Milpa Alta, Cd. de Méx. SEGIAGUA*",101.5
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, Cd. de Méx.",12.45
-99.120556,19.150556,DF,MTULMIAC,"Manantial Tulmiac, Cd. de Méx. SEGIAGUA*",114.5
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo (Mezontepec), Cd. de Méx.",104.25
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de Mécico Sur, Cd. de Méx.",43.5
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",44.5
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",9.06
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",27.59
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",17.5
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",52.72
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",91.06
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",94.29
-99.209444,19.308611,DF,PICACHOAJUSCO,"Planta Pichacho Ajusco Periférico, Cd. de Méx. SEGIAGUA*",0
-99.219444,19.285278,DF,PICACHOHOMUN,"Picacho Homun, Cd. de Méx. SEGIAGUA*",99.5
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",35
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",54.49
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",66.55
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",71.79
-99.177222,19.328889,DF,POZOCU,"Pozo C.U., Cd. de Méx. SEGIAGUA*",1.25
-99.235556,19.423611,DF,PRESAMIXCOAC,"Presa Mixcoac, Cd. de Méx. SEGIAGUA*",118.5
-99.154444,19.513056,DF,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",72.63
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",70.75
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",58.25
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de Méx.",45.25
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",37.08
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",89.72
-99.059444,19.225278,DF,PTARSPACTOPAN,"PTAR San Pedro Actopan, Cd. de Méx. SEGIAGUA*",65.5
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",78
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",83.2
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",135.62
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",105.5
-99.17,19.4,DF,RCMDF,"Radio Comunicación, Cd. de Méx.",100.5
-99.129444,19.237222,DF,RECLUSORIOSUR,"Pozo reclusorio Sur, Cd. de Méx. SEGIAGUA*",62
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de Méx.",56.54
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora (Santa Cruz Meyehualco), Cd. de Méx.",84.85
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",124.05
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",63.92
-99.176389,19.206389,DF,SMTOPILEJO,"San Miguel Topilejo, Cd. de Méx. SEGIAGUA*",100
-99.17,19.262778,DF,SPEDROMARTIR,"San Pedro Mártir, Cd. de Méx. SEGIAGUA*",90.25
-99.009722,19.281389,DF,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",58.77
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",83
